time,open,high,low,close
1382569260,NaN,NaN,NaN,NaN
1382569320,202.98,202.98,202.97,202.97
1382569380,NaN,NaN,NaN,NaN
1382569440,202.97,203,202.97,203
1382569500,203,203,203,203
1382569560,203,203,203,203
1382569620,203.01,203.01,203,203.01
1382569680,203,203,203,203
1382569740,203.01,203.01,203.01,203.01
1382569800,203,203,203,203
1382569860,203,203,203,203
1382569920,202.19,202.19,202.1,202.1
1382569980,202.1,202.1,202,202
1382570040,202,202,202,202
1382570100,202.1,202.1,202,202.1
1382570160,202,202.63,201.92,202.63
1382570220,202.64,202.64,202.64,202.64
1382570280,202.88,202.88,202.88,202.88
1382570340,NaN,NaN,NaN,NaN
1382570400,202.99,203.34,202.99,203.34
1382570460,203.34,203.34,202.64,202.64
1382570520,203.08,203.4,202.64,202.64
1382570580,203.4,203.4,203.4,203.4
1382570640,203.4,203.4,203.4,203.4
1382570700,203.41,203.5,203.41,203.41
1382570760,203.41,203.41,203.41,203.41
1382570820,202.64,203.08,202.35,203.08
1382570880,203.08,203.08,203.08,203.08
1382570940,203.41,203.5,203.09,203.09
1382571000,203.1,203.1,203.1,203.1
1382571060,NaN,NaN,NaN,NaN
1382571120,203.49,203.5,203.11,203.5
1382571180,203.5,203.5,203.5,203.5
1382571240,203.5,203.5,203.5,203.5
1382571300,NaN,NaN,NaN,NaN
1382571360,203.11,203.5,203.11,203.5
1382571420,203.49,203.49,203.49,203.49
1382571480,203.5,203.55,203.5,203.55
1382571540,203.59,203.65,203.59,203.65
1382571600,203.65,203.65,203.64,203.64
1382571660,203.64,203.69,203.64,203.69
1382571720,203.69,203.69,203.69,203.69
1382571780,203.55,203.69,203.55,203.69
1382571840,203.69,203.7,203.69,203.7
1382571900,203.7,203.7,203.7,203.7
1382571960,203.7,203.7,203.7,203.7
1382572020,203.68,203.68,203.68,203.68
1382572080,203.68,203.68,203.68,203.68
1382572140,203.68,203.68,203.68,203.68
1382572200,203.68,203.68,203.67,203.68
1382572260,203.68,203.69,203.1,203.69
1382572320,203.69,203.7,203.11,203.7
1382572380,203.7,203.7,203.7,203.7
1382572440,203.7,203.7,203.12,203.7
1382572500,203.7,203.7,203.7,203.7
1382572560,203.7,203.85,203.7,203.85
1382572620,203.85,203.9,203.85,203.9
1382572680,203.89,203.9,202.5,203.9
1382572740,203.9,203.96,203.9,203.96
1382572800,203.94,203.94,203.94,203.94
1382572860,NaN,NaN,NaN,NaN
1382572920,NaN,NaN,NaN,NaN
1382572980,NaN,NaN,NaN,NaN
1382573040,NaN,NaN,NaN,NaN
1382573100,203.94,203.97,203.94,203.97
1382573160,203.97,203.97,203.88,203.88
1382573220,203.97,203.97,203.87,203.97
1382573280,203.97,203.97,203.97,203.97
1382573340,203.97,203.97,203.97,203.97
1382573400,203.97,203.99,203.97,203.99
1382573460,203.99,203.99,203.99,203.99
1382573520,203.99,204,203.99,204
1382573580,204,204,204,204
1382573640,204,204,204,204
1382573700,204,204,204,204
1382573760,204,204,203.36,203.36
1382573820,203.36,204,203.36,204
1382573880,204,204.03,204,204.03
1382573940,204.03,204.27,204.03,204.27
1382574000,204.27,204.37,204.27,204.37
1382574060,204.37,204.41,204.37,204.41
1382574120,204.41,204.47,204.41,204.47
1382574180,204.47,204.49,204.47,204.49
1382574240,204.49,204.49,204.49,204.49
1382574300,204.49,204.57,204.49,204.57
1382574360,204.57,204.61,204.57,204.61
1382574420,204.61,204.62,204.61,204.62
1382574480,204.62,204.64,204.54,204.54
1382574540,204.54,204.54,204.49,204.49
1382574600,204.49,204.54,203.82,204.54
1382574660,204.54,204.54,204.54,204.54
1382574720,204.54,204.54,204.54,204.54
1382574780,204.54,204.54,204.54,204.54
1382574840,204.54,204.54,204.54,204.54
1382574900,204.54,204.54,204.54,204.54
1382574960,204.54,204.54,204.44,204.54
1382575020,204.44,204.44,204.44,204.44
1382575080,204.44,204.44,204.44,204.44
1382575140,204.44,204.44,204.44,204.44
1382575200,204.44,204.44,204.44,204.44
1382575260,204.44,204.44,204.44,204.44
1382575320,204.44,204.44,204.44,204.44
1382575380,204.44,204.44,204.44,204.44
1382575440,204.44,204.44,204.44,204.44
1382575500,204.44,204.44,204.44,204.44
1382575560,204.44,204.54,204.44,204.54
1382575620,204.64,204.7,204.45,204.45
1382575680,204.45,204.71,204.45,204.71
1382575740,204.71,204.71,204.45,204.45
1382575800,204.45,204.45,204.45,204.45
1382575860,204.45,204.7,204.45,204.7
1382575920,204.45,204.7,204.45,204.7
1382575980,204.45,204.7,204.45,204.45
1382576040,204.45,204.45,204.45,204.45
1382576100,204.45,204.7,204.45,204.7
1382576160,204.7,204.7,204.44,204.44
1382576220,204.44,204.44,204.44,204.44
1382576280,204.44,204.44,204.39,204.39
1382576340,204.39,204.39,204.39,204.39
1382576400,204.39,204.4,204.39,204.4
1382576460,204.4,204.4,204.4,204.4
